127.0.0.1 - - [03/Oct/2025:21:20:16 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [03/Oct/2025:21:20:18 +0530] "GET /IPlManagement/main.jsp HTTP/1.1" 200 12351
0:0:0:0:0:0:0:1 - - [03/Oct/2025:21:20:22 +0530] "GET /IPlManagement/vai.jpeg HTTP/1.1" 200 5235
0:0:0:0:0:0:0:1 - - [03/Oct/2025:21:20:22 +0530] "GET /IPlManagement/csk.jpeg HTTP/1.1" 200 21016
0:0:0:0:0:0:0:1 - - [03/Oct/2025:21:20:22 +0530] "GET /IPlManagement/1.jpg HTTP/1.1" 200 6166928
0:0:0:0:0:0:0:1 - - [03/Oct/2025:21:20:22 +0530] "GET /IPlManagement/2.jpg HTTP/1.1" 200 10734094
0:0:0:0:0:0:0:1 - - [03/Oct/2025:21:20:22 +0530] "GET /IPlManagement/96.jpg HTTP/1.1" 200 1983592
0:0:0:0:0:0:0:1 - - [03/Oct/2025:21:20:22 +0530] "GET /IPlManagement/RCB-Win-IPL-upl.jpg HTTP/1.1" 200 178128
0:0:0:0:0:0:0:1 - - [03/Oct/2025:21:20:22 +0530] "GET /IPlManagement/che.jpeg HTTP/1.1" 200 20526
0:0:0:0:0:0:0:1 - - [03/Oct/2025:21:20:22 +0530] "GET /IPlManagement/ipl.jpeg HTTP/1.1" 200 12538
0:0:0:0:0:0:0:1 - - [03/Oct/2025:21:20:22 +0530] "GET /IPlManagement/sai.png HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [03/Oct/2025:21:20:23 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [03/Oct/2025:21:20:34 +0530] "GET /IPlManagement/adlogin.jsp HTTP/1.1" 200 4386
0:0:0:0:0:0:0:1 - - [03/Oct/2025:21:29:31 +0530] "POST /IPlManagement/adminloginservlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Oct/2025:21:29:34 +0530] "GET /IPlManagement/admindash.jsp HTTP/1.1" 200 6865
0:0:0:0:0:0:0:1 - - [03/Oct/2025:21:29:34 +0530] "GET /IPlManagement/images/csklogo.jpeg HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [03/Oct/2025:21:30:05 +0530] "GET /IPlManagement/updateTeam.jsp?code=CSK HTTP/1.1" 200 5539
0:0:0:0:0:0:0:1 - - [03/Oct/2025:21:30:05 +0530] "GET /IPlManagement/images/csklogo.jpeg HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [03/Oct/2025:21:30:39 +0530] "POST /IPlManagement/TeamServlet?action=update HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Oct/2025:21:30:39 +0530] "GET /IPlManagement/admindash.jsp HTTP/1.1" 200 6880
0:0:0:0:0:0:0:1 - - [03/Oct/2025:21:30:39 +0530] "GET /IPlManagement/images/csklogo.jpeg HTTP/1.1" 200 4082
